"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Group","Treatment"
"98","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_4_substack_frame_2",392.48,405.68,0.97,1.03,3.54,8.21,4.62,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_4",84.0428265524625,114.598870056497,1.36357705657318,0.733365228741169,"pCUP-Cdc5[WT]","CuSO4"
"99","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_5_substack_frame_1",528.58,234.22,2.26,0.44,2.48,6.68,3.44,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_5",125.852380952381,94.4435483870968,0.750431161273235,1.33256726480192,"pCUP-Cdc5[WT]","CuSO4"
"100","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_5_substack_frame_2",442.85,382.59,1.16,0.86,2.7,6.81,3.59,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_5",107.749391727494,141.7,1.31508863046178,0.760405022776951,"pCUP-Cdc5[WT]","CuSO4"
"101","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_7_substack_frame_1",505.4,348.94,1.45,0.69,3.36,8.39,4.52,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_7",100.477137176938,103.85119047619,1.03358030885484,0.967510692137654,"pCUP-Cdc5[WT]","CuSO4"
"102","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_7_substack_frame_2",347.65,443.45,0.78,1.28,3.88,8.92,5.04,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_7",68.9781746031746,114.291237113402,1.65691884093642,0.603529862352728,"pCUP-Cdc5[WT]","CuSO4"
"103","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_9_substack_frame_1",557.83,366.09,1.52,0.66,3.18,7.94,4.27,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_9",117.191176470588,115.122641509434,0.982349055419941,1.01796809849073,"pCUP-Cdc5[WT]","CuSO4"
"104","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_9_substack_frame_2",354.97,416.01,0.85,1.17,3.05,7.25,3.98,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_9",84.5166666666667,136.396721311475,1.61384406994449,0.61963855035536,"pCUP-Cdc5[WT]","CuSO4"
"105","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_10_substack_frame_1",515.72,342.05,1.51,0.66,4.3,10.01,5.68,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_10",90.3187390542907,79.546511627907,0.880730980755737,1.13542048803815,"pCUP-Cdc5[WT]","CuSO4"
"106","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_10_substack_frame_2",479.05,341.22,1.4,0.71,3.37,8.53,4.64,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_10",92.8391472868217,101.252225519288,1.09061994296947,0.916909695670211,"pCUP-Cdc5[WT]","CuSO4"
"107","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_11_substack_frame_1",605.37,392.59,1.54,0.65,3.44,8.07,4.49,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_11",130.749460043197,114.125,0.872852552984125,1.14566887222954,"pCUP-Cdc5[WT]","CuSO4"
