 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
246,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_2_substack_frame_2,546.42,394.26,1.39,0.72,3.44,7.92,4.44,
247,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_3_substack_frame_1,470.87,264.56,1.78,0.56,3.44,8.1,4.51,
248,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_3_substack_frame_2,430.41,302.25,1.42,0.7,3.38,7.95,4.4,
249,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_4_substack_frame_1,561.41,362.17,1.55,0.65,3.59,8.44,4.72,
250,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_4_substack_frame_2,464.32,340.82,1.36,0.73,3.46,8.2,4.56,
251,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_5_substack_frame_1,431.86,308.93,1.4,0.72,3.17,7.65,4.16,
252,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_5_substack_frame_2,414.59,280.19,1.48,0.68,3.17,7.46,4.14,
253,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_6_substack_frame_1,552.3,277.14,1.99,0.5,2.42,6.44,3.36,
254,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_6_substack_frame_2,570.15,338.02,1.69,0.59,3.16,7.73,4.16,
255,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_7_substack_frame_1,533.05,236.87,2.25,0.44,2.56,6.67,3.47,
256,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_7_substack_frame_2,431.75,220.6,1.96,0.51,2.47,6.48,3.35,
257,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_8_substack_frame_1,575.84,367.53,1.57,0.64,3.35,8.01,4.38,
258,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_8_substack_frame_2,553.08,313.93,1.76,0.57,2.96,7.25,3.93,
259,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_9_substack_frame_1,411.77,336.49,1.22,0.82,2.76,6.77,3.67,
260,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_9_substack_frame_2,434.95,323.25,1.35,0.74,2.9,7.19,3.84,
261,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_10_substack_frame_1,666.65,500.59,1.33,0.75,5.23,10.92,6.55,
262,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_10_substack_frame_2,421.68,256.2,1.65,0.61,3.12,7.69,4.13,1
263,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_11_substack_frame_1,576.6,279.89,2.06,0.49,2.37,6.9,3.44,
264,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_11_substack_frame_2,437.06,335.59,1.3,0.77,2.94,7.23,3.93,
265,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_12_substack_frame_1,407.81,295.1,1.38,0.72,2.54,6.65,3.44,
266,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_12_substack_frame_2,436.28,241.65,1.81,0.55,2.39,6.21,3.23,
267,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_1_substack_frame_1,588.2,353.86,1.66,0.6,3.96,9.19,5.15,
268,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_1_substack_frame_2,515.57,228.36,2.26,0.44,3.15,7.44,4.12,
269,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_2_substack_frame_1,482.72,240.86,2,0.5,2.61,6.72,3.5,
270,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_2_substack_frame_2,404.68,279.7,1.45,0.69,2.54,6.37,3.39,
271,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_3_substack_frame_1,578.97,243.96,2.37,0.42,2.63,7.46,3.75,
272,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_3_substack_frame_2,566.13,199.06,2.84,0.35,2.41,6.52,3.3,
273,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_4_substack_frame_1,367.84,165.19,2.23,0.45,1.6,5.26,2.52,
274,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_4_substack_frame_2,451.3,239.5,1.88,0.53,2.96,7.82,4.16,
275,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_5_substack_frame_1,459.45,292.05,1.57,0.64,3.33,7.9,4.41,
276,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_5_substack_frame_2,354.51,335.62,1.06,0.95,3.98,8.92,5.08,
277,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_6_substack_frame_1,470.7,266.54,1.77,0.57,3.04,7.52,4.09,
278,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_6_substack_frame_2,478.8,196.84,2.43,0.41,2.84,7.41,3.89,
279,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_7_substack_frame_1,380.14,173.06,2.2,0.46,2.32,6.24,3.21,
280,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_7_substack_frame_2,379.18,145.2,2.61,0.38,2.04,5.68,2.83,
281,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_8_substack_frame_1,425.22,200.15,2.12,0.47,2.37,6.56,3.31,1
282,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_8_substack_frame_2,501.97,308.7,1.63,0.61,4.2,9.64,5.5,
283,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_9_substack_frame_1,541.47,323.12,1.68,0.6,2.84,7.14,3.82,
284,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_29_R3D_D3D_nucleus_9_substack_frame_2,490.4,216.16,2.27,0.44,2.26,6.37,3.17,
285,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_10_substack_frame_1,466.13,263.17,1.77,0.56,2.58,6.68,3.47,
286,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_10_substack_frame_2,555.39,321.56,1.73,0.58,3.07,7.88,4.19,
287,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_11_substack_frame_1,641.09,311.26,2.06,0.49,4,9.15,5.22,
288,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_11_substack_frame_2,543.64,358.91,1.51,0.66,4.16,9.11,5.37,
289,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_12_substack_frame_1,682.13,381.41,1.79,0.56,3.29,8.23,4.42,
290,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_12_substack_frame_2,588.29,313.97,1.87,0.53,3.31,8.25,4.44,
291,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_13_substack_frame_1,478.39,326.45,1.47,0.68,2.61,6.53,3.49,
292,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_13_substack_frame_2,535.55,327.21,1.64,0.61,2.72,6.63,3.64,
293,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_14_substack_frame_1,594.1,495.64,1.2,0.83,3.78,8.44,4.84,
294,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_14_substack_frame_2,556.12,375.1,1.48,0.67,3.33,8,4.42,
295,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_15_substack_frame_1,576.17,379.81,1.52,0.66,3.02,7.5,4.03,
296,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_15_substack_frame_2,546.93,327.92,1.67,0.6,3.11,7.83,4.2,
297,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_1_substack_frame_1,445.31,266.81,1.67,0.6,3.42,7.89,4.43,
298,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_1_substack_frame_2,435.3,348.24,1.25,0.8,3.52,8.28,4.58,
299,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_2_substack_frame_1,534.08,291.66,1.83,0.55,1.98,5.62,2.77,
300,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_2_substack_frame_2,479.82,249.72,1.92,0.52,2.37,6.28,3.23,
301,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_3_substack_frame_1,633.4,344.9,1.84,0.54,3.14,8.08,4.29,
302,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_3_substack_frame_2,381.73,154.34,2.47,0.4,1.96,5.69,2.8,
303,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_4_substack_frame_1,615.43,464.36,1.33,0.75,4.42,9.78,5.74,
304,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_4_substack_frame_2,602.28,391.11,1.54,0.65,4.14,9.61,5.43,
305,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_5_substack_frame_1,573.3,524.63,1.09,0.92,4.06,9.09,5.21,
306,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_5_substack_frame_2,541.25,449.78,1.2,0.83,3.84,8.69,5,
307,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_6_substack_frame_1,417.75,244.63,1.71,0.59,2.52,6.68,3.52,
308,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_6_substack_frame_2,459.22,388.63,1.18,0.85,3.81,8.76,4.93,
309,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_7_substack_frame_1,448.19,322.64,1.39,0.72,3.3,7.78,4.33,
310,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_7_substack_frame_2,545.02,283.75,1.92,0.52,3.15,7.69,4.23,
311,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_8_substack_frame_1,459.36,198.01,2.32,0.43,2.33,6.44,3.23,
312,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_8_substack_frame_2,403.01,198.04,2.03,0.49,2.65,6.9,3.71,
313,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_9_substack_frame_1,494.79,312.6,1.58,0.63,3.56,8.22,4.62,
314,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_30_R3D_D3D_nucleus_9_substack_frame_2,425.84,274.5,1.55,0.64,3.18,7.9,4.29,
