"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Subcomplex"
"35","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_3_substack_frame_1_middleslice",772.49,278.47,2.77,0.36,3.66,8.42,4.71,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_3",162.28781512605,76.0846994535519,0.468825705703514,2.13298884390184,3,"Nup60-GFP","Basket"
"36","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_4_substack_frame_1_middleslice",914.5,306.11,2.99,0.33,2.88,7.17,3.87,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_4",213.170163170163,106.288194444444,0.498607276289411,2.00558645562076,3,"Nup60-GFP","Basket"
"37","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_5_substack_frame_1_middleslice",695.74,313.12,2.22,0.45,3.19,7.86,4.23,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_5",148.980728051392,98.1567398119122,0.658855283470305,1.51778398851539,3,"Nup60-GFP","Basket"
"38","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_6_substack_frame_1_middleslice",849.46,274.49,3.09,0.32,3.47,8.42,4.62,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_6",171.608080808081,79.1037463976945,0.460955836259021,2.169405225706,3,"Nup60-GFP","Basket"
"39","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_1_substack_frame_1_middleslice",1000.72,356.76,2.8,0.36,3.93,8.87,5.07,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_1",202.574898785425,90.7786259541985,0.448123763104305,2.23152638251688,3,"Nup60-GFP","Basket"
"40","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_2_substack_frame_1_middleslice",965.72,314.27,3.07,0.33,3.04,8.08,4.2,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_2",191.611111111111,103.378289473684,0.539521371564603,1.85349469493677,3,"Nup60-GFP","Basket"
"41","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_4_substack_frame_1_middleslice",624.06,212.51,2.94,0.34,2.46,6.66,3.43,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_4",148.585714285714,86.3861788617886,0.581389531807057,1.72001720927418,3,"Nup60-GFP","Basket"
"42","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_5_substack_frame_1_middleslice",830,343.12,2.42,0.41,3.52,8.09,4.59,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_5",181.619256017505,97.4772727272727,0.536712212486309,1.86319591158084,3,"Nup60-GFP","Basket"
"43","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_6_substack_frame_1_middleslice",754.81,247.2,3.05,0.33,3.11,7.65,4.16,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_6",166.257709251101,79.4855305466238,0.478086284868605,2.09167263661377,3,"Nup60-GFP","Basket"
"44","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_7_substack_frame_1_middleslice",670.96,281.74,2.38,0.42,2.47,6.74,3.45,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_7",157.133489461358,114.064777327935,0.725910038139805,1.37758117047475,3,"Nup60-GFP","Basket"
"45","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_1_substack_frame_1_middleslice",670.09,209.75,3.19,0.31,2.46,6.75,3.43,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_1",156.198135198135,85.2642276422764,0.545872250869832,1.83193045333689,3,"Nup60-GFP","Basket"
"46","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_2_substack_frame_1_middleslice",927.78,351.94,2.64,0.38,3.47,8.32,4.61,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_2",191.294845360825,101.423631123919,0.530195316724879,1.88609738421908,3,"Nup60-GFP","Basket"
