"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Sample"
"174","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1_substack_frame_2",592.77,457.39,1.3,0.77,3.74,8.66,4.86,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1",120.481707317073,122.29679144385,1.01506522581059,0.985158366745783,"Nup60-GFP_delta2-47"
"175","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1_substack_frame_3",691.03,729.14,0.95,1.06,5.61,14.19,7.64,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1",80.539627039627,129.971479500891,1.61375814959936,0.619671541394393,"Nup60-GFP_delta2-47"
"176","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1_substack_frame_4",315.85,249.03,1.27,0.79,1.87,5.32,2.63,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1",91.5507246376812,133.171122994652,1.45461571737075,0.687466791440645,"Nup60-GFP_delta2-47"
"177","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2_substack_frame_1",574.34,237.91,2.41,0.41,2.74,7.25,3.85,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2",127.348115299335,86.8284671532847,0.681819805100313,1.46666317481475,"Nup60-GFP_delta2-47"
"178","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2_substack_frame_2",391.09,276.88,1.41,0.71,2.18,5.97,3.09,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2",103.189973614776,127.009174311927,1.2308286344376,0.812460786189725,"Nup60-GFP_delta2-47"
"179","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2_substack_frame_3",283.86,183.41,1.55,0.65,1.63,5.08,2.41,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2",82.2782608695652,112.521472392638,1.36757232352075,0.731222753488857,"Nup60-GFP_delta2-47"
"180","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2_substack_frame_4",284.14,193.02,1.47,0.68,1.64,5.43,2.47,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_2",74.9709762532981,117.69512195122,1.56987580838714,0.6369930631821,"Nup60-GFP_delta2-47"
"181","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5_substack_frame_1",454.98,219.64,2.07,0.48,3.18,7.99,4.28,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5",94.5904365904366,69.0691823899371,0.730192024474916,1.36950276979416,"Nup60-GFP_delta2-47"
"182","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5_substack_frame_2",513.01,298.64,1.72,0.58,2.8,7.09,3.77,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5",119.582750582751,106.657142857143,0.891910767542822,1.12118839281979,"Nup60-GFP_delta2-47"
"183","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5_substack_frame_3",458.44,440.72,1.04,0.96,4.14,9.92,5.44,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5",79.3148788927336,106.454106280193,1.34217069692766,0.745061714049548,"Nup60-GFP_delta2-47"
