"","Sample","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n"
"11","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_19_substack_frame_1",772.72,272.9,2.83,0.35,2.36,6.27,3.24,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_19",197.626598465473,115.635593220339,0.585121608721821,1.70904643597844,2
"12","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_19_substack_frame_2",493.37,199.7,2.47,0.4,1.84,5.39,2.65,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_19",138.977464788732,108.532608695652,0.780936742950656,1.28051344622568,2
"13","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_1_substack_frame_1",1092.07,397.12,2.75,0.36,3,7.29,3.95,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_1",254.561771561772,132.373333333333,0.520004761599531,1.92305931377245,2
"14","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_1_substack_frame_2",956.37,344.15,2.78,0.36,3.25,8.25,4.37,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_1",191.274,105.892307692308,0.553615795624641,1.80630684294639,2
"15","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_22_substack_frame_1",615.33,267.29,2.3,0.43,2.46,6.38,3.31,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_22",156.97193877551,108.654471544715,0.692190415639225,1.44468917425925,2
"16","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_22_substack_frame_2",450.29,227.86,1.98,0.51,2.53,6.91,3.51,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_22",102.805936073059,90.0632411067194,0.876050980584581,1.14148608033371,2
"17","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_23_substack_frame_1",723.16,310.03,2.33,0.43,2.46,6.38,3.32,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_23",184.479591836735,126.028455284553,0.683156624696398,1.46379316813975,2
"18","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_23_substack_frame_2",647.23,226.24,2.86,0.35,2.62,7.16,3.66,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_23",142.561674008811,86.3511450381679,0.605710795966322,1.65095290798746,2
"19","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_3_substack_frame_1",799.49,356.54,2.24,0.45,2.54,6.55,3.43,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_3",199.374064837905,140.370078740157,0.704053854016975,1.42034589299456,2
"20","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_3_substack_frame_2",480.58,240.59,2,0.5,1.94,5.48,2.7,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_3",135.757062146893,124.015463917526,0.913510221540724,1.09467850103899,2
"21","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_7_substack_frame_1",675.85,221.29,3.05,0.33,2.36,6.18,3.21,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_7",176.924083769634,93.7669491525424,0.529984087834152,1.88684910161478,2
"22","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_7_substack_frame_2",468.31,193.35,2.42,0.41,2.27,6.16,3.12,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_7",120.388174807198,85.1762114537445,0.707513105752741,1.41340137994486,2
"23","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_9_substack_frame_1",499.99,270.72,1.85,0.54,1.99,5.63,2.76,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_9",137.35989010989,136.040201005025,0.990392471166006,1.00970072886629,2
"24","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_9_substack_frame_2",659.52,170.74,3.86,0.26,1.77,5.32,2.53,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_9",185.780281690141,96.4632768361582,0.519233128287788,1.92591717577339,2
"25","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_10_substack_frame_1",948.16,423.42,2.24,0.45,2.87,7.16,3.82,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_10",221.016317016317,147.533101045296,0.667521308096018,1.4980795187682,2
"26","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_10_substack_frame_2",790.15,243.5,3.24,0.31,3.35,8.01,4.56,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_10",169.56008583691,72.6865671641791,0.428677343523476,2.33275682773572,2
"27","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_11_substack_frame_1",815.79,476.03,1.71,0.58,3.64,8.3,4.66,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_11",175.062231759657,130.777472527473,0.747034190144549,1.33862681680808,2
"28","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_11_substack_frame_2",568.86,225.77,2.52,0.4,2.13,6.14,3.05,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_11",141.860349127182,105.995305164319,0.747180630926626,1.33836445781502,2
"29","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_12_substack_frame_1",866.16,391.85,2.21,0.45,2.8,6.9,3.68,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_12",211.258536585366,139.946428571429,0.662441531752629,1.50956718754376,2
"30","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_12_substack_frame_2",403.61,202.7,1.99,0.5,1.96,5.78,2.87,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_12",105.657068062827,103.418367346939,0.978811633173871,1.02164703208259,2
"31","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_15_substack_frame_1",966.09,539.2,1.79,0.56,3.3,7.78,4.33,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_15",215.645089285714,163.393939393939,0.757698401271981,1.31978634021301,2
"32","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_15_substack_frame_2",878.53,285.36,3.08,0.32,2.83,7.03,3.77,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_15",209.173809523809,100.833922261484,0.482058066882444,2.0744388875539,2
"33","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_16_substack_frame_1",948.63,314.08,3.02,0.33,2.81,7.29,3.79,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_16",211.747767857143,111.772241992883,0.527855585558241,1.8944575511926,2
"34","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_16_substack_frame_2",741.63,345.78,2.14,0.47,3.35,7.82,4.37,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_16",165.912751677852,103.217910447761,0.622121623587898,1.60740273619297,2
