"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Treatment"
"32","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_1_substack_frame_2_middleslice",722.67,292.23,2.47,0.4,3.67,8.34,4.71,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_1",154.747323340471,79.6267029972752,0.514559484961705,1.94340990541535,2,"pCUP-Cdc5[KD]","CuSO4"
"33","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_20_substack_frame_1_middleslice",631.39,225.93,2.79,0.36,2.05,5.78,2.84,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_20",169.27345844504,110.209756097561,0.651075231226187,1.53592081535136,2,"pCUP-Cdc5[KD]","CuSO4"
"34","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_20_substack_frame_2_middleslice",648.95,238.43,2.72,0.37,1.94,5.48,2.68,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_20",183.319209039548,122.90206185567,0.670426533583592,1.49158774288774,2,"pCUP-Cdc5[KD]","CuSO4"
"35","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_2_substack_frame_1_middleslice",717.25,352.89,2.03,0.49,2.31,6.13,3.14,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_2",187.761780104712,152.766233766234,0.813617306360422,1.22907906725009,2,"pCUP-Cdc5[KD]","CuSO4"
"36","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_2_substack_frame_2_middleslice",622.93,327.25,1.9,0.53,2.36,6.09,3.21,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_2",167.005361930295,138.665254237288,0.830304204814481,1.20437785838196,2,"pCUP-Cdc5[KD]","CuSO4"
"37","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_4_substack_frame_1_middleslice",669.01,200.48,3.34,0.3,2.82,7.11,3.77,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_4",155.946386946387,71.0921985815603,0.455875894104563,2.19357946522751,2,"pCUP-Cdc5[KD]","CuSO4"
"38","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_4_substack_frame_2_middleslice",449.37,229.07,1.96,0.51,2.83,7.18,3.93,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_4",103.303448275862,80.9434628975265,0.783550445299509,1.27624201606797,2,"pCUP-Cdc5[KD]","CuSO4"
"39","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_5_substack_frame_1_middleslice",1210.02,473.37,2.56,0.39,3.1,7.39,4.06,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_5",282.055944055944,152.7,0.54138196062875,1.84712471549407,2,"pCUP-Cdc5[KD]","CuSO4"
"40","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_5_substack_frame_2_middleslice",1099.88,561.34,1.96,0.51,3.38,7.95,4.38,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_5",240.673960612691,166.076923076923,0.690049403990925,1.44917160165122,2,"pCUP-Cdc5[KD]","CuSO4"
"41","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_6_substack_frame_1_middleslice",781.59,326.09,2.4,0.42,3.26,7.93,4.3,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_6",167.364025695931,100.027607361963,0.59766492199282,1.67317833655965,2,"pCUP-Cdc5[KD]","CuSO4"
"42","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_6_substack_frame_2_middleslice",789.09,279.43,2.82,0.35,3.5,8.77,4.77,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_6",149.732447817837,79.8371428571429,0.533198675508678,1.87547352597226,2,"pCUP-Cdc5[KD]","CuSO4"
"43","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_9_substack_frame_1_middleslice",804.64,294.78,2.73,0.37,3.81,9.79,5.36,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_9",134.555183946488,77.3700787401575,0.575006302030898,1.7391113740285,2,"pCUP-Cdc5[KD]","CuSO4"
"44","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_9_substack_frame_2_middleslice",687.53,291.81,2.36,0.42,4.44,9.66,5.61,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_9",131.710727969349,65.722972972973,0.498994835016536,2.00402875906894,2,"pCUP-Cdc5[KD]","CuSO4"
