 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
130,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_5_substack_frame_2,830,343.12,2.42,0.41,3.52,8.09,4.59,
131,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_5_substack_frame_3,788.61,632.12,1.25,0.8,5.25,13.08,7.1,
132,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_5_substack_frame_4,453.48,169.39,2.68,0.37,1.73,5.55,2.6,
133,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_6_substack_frame_1,814.06,363.21,2.24,0.45,4.31,9.44,5.53,
134,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_6_substack_frame_2,754.81,247.2,3.05,0.33,3.11,7.65,4.16,
135,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_6_substack_frame_3,435.83,274.13,1.59,0.63,2.6,6.89,3.56,
136,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_6_substack_frame_4,518.77,249.18,2.08,0.48,2.44,6.54,3.32,
137,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_7_substack_frame_1,823.52,352.8,2.33,0.43,3.38,7.95,4.43,
138,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_7_substack_frame_2,757.89,262.63,2.89,0.35,2.4,6.69,3.36,
139,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_7_substack_frame_3,750.63,655.73,1.14,0.87,4.34,11.02,5.9,
140,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_7_substack_frame_4,492.18,261.96,1.88,0.53,1.97,5.89,2.86,
141,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_8_substack_frame_1,698.9,294.27,2.37,0.42,3.18,7.66,4.19,
142,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_8_substack_frame_2,605.78,237.91,2.55,0.39,2.39,6.49,3.28,
143,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_8_substack_frame_3,680.34,500.75,1.36,0.74,3.74,10.74,5.36,
144,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_8_substack_frame_4,387.29,153.4,2.52,0.4,1.47,4.64,2.12,
145,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_1,725.26,393.75,1.84,0.54,4.26,9.29,5.42,
146,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_2,701.95,328.33,2.14,0.47,2.9,7.47,3.93,
147,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_3,492.18,347.12,1.42,0.71,2.33,6.34,3.26,
148,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_4,474.44,201.73,2.35,0.43,2.23,5.96,3.05,
149,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_1,750.71,438.7,1.71,0.58,4.65,10.03,5.91,
150,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_2,639.47,273.03,2.34,0.43,3.45,8.3,4.56,
151,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_3,840.56,625.53,1.34,0.74,4.71,10.87,6.16,
152,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_4,524.74,238.27,2.2,0.45,2.3,6.59,3.28,
153,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_1,695.89,252.79,2.75,0.36,2.38,6.75,3.36,
154,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_2,701.24,284.85,2.46,0.41,3.31,7.97,4.35,
155,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_3,479.16,276.16,1.74,0.58,2.37,6.56,3.33,
156,201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_4,432.52,177.2,2.44,0.41,1.77,5.41,2.56,
