 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
271,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_25_substack_frame_1,502.87,260.67,1.93,0.52,1.98,5.62,2.81,
272,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_25_substack_frame_2,428.02,305.49,1.4,0.71,2.72,6.82,3.61,
273,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_26_substack_frame_1,331.45,156.69,2.12,0.47,1.03,3.92,1.61,
274,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_26_substack_frame_2,302.47,112.4,2.69,0.37,1.17,4.06,1.78,
275,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_27_substack_frame_1,389.64,231.25,1.68,0.59,1.85,5.21,2.6,
276,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_27_substack_frame_2,402.91,250.58,1.61,0.62,2.87,7.16,3.85,
277,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_28_substack_frame_1,456.53,257.96,1.77,0.57,2.7,6.81,3.6,
278,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_28_substack_frame_2,433.63,325.51,1.33,0.75,3.07,7.26,3.99,
279,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_29_substack_frame_1,628.52,382.17,1.64,0.61,3.03,7.14,3.96,
280,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_29_substack_frame_2,483.26,253.92,1.9,0.53,2.84,7.32,3.86,
281,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_2_substack_frame_1,530.17,409.32,1.3,0.77,3.32,7.89,4.38,
282,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_2_substack_frame_2,462.49,257.63,1.8,0.56,2.73,7.09,3.7,
283,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_30_substack_frame_1,589.94,322.3,1.83,0.55,2.4,6.32,3.29,
284,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_30_substack_frame_2,607.06,346.06,1.75,0.57,2.95,7.24,3.89,
285,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_31_substack_frame_1,598.47,290.87,2.06,0.49,2.93,7.12,3.86,
286,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_31_substack_frame_2,482.39,307.51,1.57,0.64,3.54,8.17,4.62,
287,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_32_substack_frame_1,638.65,355.49,1.8,0.56,3.57,8.04,4.57,
288,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_32_substack_frame_2,450.21,245.19,1.84,0.54,3.6,8.17,4.65,
289,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_33_substack_frame_1,679.52,372.07,1.83,0.55,2.62,6.82,3.53,
290,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_33_substack_frame_2,555.17,332.12,1.67,0.6,3.15,7.53,4.13,
291,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_34_substack_frame_1,476.11,299.39,1.59,0.63,3.25,7.54,4.21,
292,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_34_substack_frame_2,393.09,266.94,1.47,0.68,2.53,6.69,3.46,
293,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_35_substack_frame_1,415.55,202.68,2.05,0.49,1.77,5.32,2.52,
294,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_35_substack_frame_2,377,195.83,1.93,0.52,1.69,4.95,2.39,
295,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_36_substack_frame_1,492.88,279.42,1.76,0.57,2.45,6.46,3.35,
296,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_36_substack_frame_2,454.55,257.97,1.76,0.57,2.6,6.8,3.53,
297,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_37_substack_frame_1,542.77,371.16,1.46,0.68,3.11,7.59,4.09,
298,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_37_substack_frame_2,483.66,339.01,1.43,0.7,3.78,8.77,4.92,
299,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_38_substack_frame_1,485.85,290.36,1.67,0.6,2.48,6.4,3.4,
300,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_38_substack_frame_2,506.31,362.07,1.4,0.72,3.75,8.51,4.86,
301,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_39_substack_frame_1,637.69,355.47,1.79,0.56,3.74,8.5,4.82,
302,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_39_substack_frame_2,416.12,310.35,1.34,0.75,3.29,8.11,4.36,
303,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_3_substack_frame_1,419.91,274.02,1.53,0.65,2.34,6.63,3.35,
304,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_3_substack_frame_2,455.91,246.14,1.85,0.54,3.24,8.24,4.44,
305,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_40_substack_frame_1,552.09,340.41,1.62,0.62,2.91,7.21,3.87,
306,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_40_substack_frame_2,515.5,323.04,1.6,0.63,3.59,8.35,4.68,
307,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_41_substack_frame_1,651.41,354.05,1.84,0.54,2.82,6.93,3.75,
308,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_41_substack_frame_2,653.43,406.12,1.61,0.62,2.89,7.09,3.81,
309,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_42_substack_frame_1,518.88,409.55,1.27,0.79,3.4,7.97,4.5,
310,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_42_substack_frame_2,375.14,248.12,1.51,0.66,2.83,7.12,3.77,
311,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_43_substack_frame_1,603.02,347.53,1.74,0.58,2.86,7.33,3.86,
312,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_43_substack_frame_2,482.5,292.33,1.65,0.61,3.25,8.01,4.31,
