 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD,,,,,,,,,,,,,,
198,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_1_substack_frame_3_middleslice,618.86,251.06,2.47,0.41,1.62,4.98,2.34,,,,,,,,,,,,,,,
199,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1228.29,371.75,3.3,0.3,2.77,7.16,3.74,,,,,,,,,,,,,,,
200,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_2_substack_frame_2_middleslice,633.34,435.97,1.45,0.69,2.06,6.07,2.93,,,,,,,,,,,,,,,
201,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_2_substack_frame_3_middleslice,620.98,294.89,2.11,0.47,1.61,5.06,2.36,,,,,,,,,,,,,,,
202,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1602.92,474.56,3.38,0.3,2.3,6.31,3.21,,,,,,,,,,,,,,,
203,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1916.2,1234.38,1.55,0.64,4.38,12.09,6.21,,,,,,,,,,,,,,,
204,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_3_substack_frame_3_middleslice,1063.95,395.45,2.69,0.37,1.85,5.3,2.62,,,,,,,,,,,,,,,
205,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1598.91,568.25,2.81,0.36,3.54,8.39,4.64,,,,,,,,,,,,,,,
206,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1535.43,1340.63,1.15,0.87,5.32,11.94,6.89,,,,,,,,,,,,,,,
207,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_4_substack_frame_3_middleslice,1173.22,402.42,2.92,0.34,2.17,7.11,3.31,,,,,,,,,,,,,,,
208,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1089.95,452.02,2.41,0.41,2.66,6.48,3.5,,,,,,,,,,,,,,,
209,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_5_substack_frame_2_middleslice,985.65,647.36,1.52,0.66,2.88,8.85,4.41,,,,,,,,,,,,,,,
210,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_5_substack_frame_3_middleslice,755.51,289.26,2.61,0.38,1.84,5.48,2.63,,,,,,,,,,,,,,,
211,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1580.86,576.26,2.74,0.36,3.14,8.08,4.27,1,,,,,,,,,,,,,,
212,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1362.4,1249.41,1.09,0.92,5.08,11.61,6.58,,,,,,,,,,,,,,,
213,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_6_substack_frame_3_middleslice,813.07,333.97,2.43,0.41,1.9,5.44,2.66,,,,,,,,,,,,,,,
214,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_7_substack_frame_1_middleslice,1327.11,473.65,2.8,0.36,2.9,7.38,3.93,,,,,,,,,,,,,,,
215,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_7_substack_frame_2_middleslice,851.37,490.65,1.74,0.58,2.2,6.31,3.17,,,,,,,,,,,,,,,
216,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_7_substack_frame_3_middleslice,854.93,417.8,2.05,0.49,2.33,6.06,3.14,,,,,,,,,,,,,,,
217,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_8_substack_frame_1_middleslice,1365.39,583.79,2.34,0.43,3.26,7.74,4.27,,,,,,,,,,,,,,,
218,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_8_substack_frame_2_middleslice,681.15,351.83,1.94,0.52,1.64,5.09,2.39,,,,,,,,,,,,,,,
219,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_8_substack_frame_3_middleslice,730.14,289.88,2.52,0.4,1.71,5.35,2.55,,,,,,,,,,,,,,,
220,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1389.01,474.99,2.92,0.34,2.82,6.93,3.73,,,,,,,,,,,,,,,
221,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1328.4,896.63,1.48,0.67,3.94,10.34,5.46,,,,,,,,,,,,,,,
222,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_1_substack_frame_3_middleslice,841.14,381.11,2.21,0.45,2.2,5.84,3,,,,,,,,,,,,,,,
223,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1406.53,427.03,3.29,0.3,2.31,6.32,3.17,,,,,,,,,,,,,,,
224,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_2_substack_frame_2_middleslice,867.82,473.57,1.83,0.55,1.55,4.82,2.24,,,,,,,,,,,,,,,
225,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_2_substack_frame_3_middleslice,850.16,271.2,3.13,0.32,1.6,5.05,2.34,,,,,,,,,,,,,,,
226,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1429.99,568.97,2.51,0.4,3.45,8.02,4.48,,,,,,,,,,,,,,,
227,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1404.81,1218.14,1.15,0.87,4.86,12.4,6.63,,,,,,,,,,,,,,,
228,210209_Nup2GFP_HighTimeResolution_01_30_R3D_D3D_nucleus_3_substack_frame_3_middleslice,680.17,392.37,1.73,0.58,1.98,5.71,2.8,,,,,,,,,,,,,,,
