 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
273,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_6_substack_frame_1_middleslice,913.49,424.3,2.15,0.46,3.95,8.8,5.05,
274,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1008.5,460.01,2.19,0.46,4.14,9.01,5.29,
275,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_7_substack_frame_1_middleslice,1012.95,406.66,2.49,0.4,3.71,8.46,4.79,
276,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_7_substack_frame_2_middleslice,964.42,410.46,2.35,0.43,3.44,7.82,4.43,
277,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_8_substack_frame_1_middleslice,762.48,201.66,3.78,0.26,2.68,6.97,3.61,
278,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_8_substack_frame_2_middleslice,708.71,279.75,2.53,0.39,3.1,7.39,4.08,
279,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_9_substack_frame_1_middleslice,470.1,240,1.96,0.51,1.82,5.27,2.56,
280,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_9_substack_frame_2_middleslice,498.74,216.54,2.3,0.43,1.67,5.02,2.37,
281,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_10_substack_frame_1_middleslice,661.86,257.2,2.57,0.39,2.7,6.81,3.64,
282,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_10_substack_frame_2_middleslice,733.64,219.47,3.34,0.3,2.6,6.89,3.56,
283,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_11_substack_frame_1_middleslice,838.63,227.87,3.68,0.27,2.86,7.15,3.84,
284,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_11_substack_frame_2_middleslice,731.45,282.39,2.59,0.39,3.15,7.62,4.21,
285,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_12_substack_frame_1_middleslice,745.63,273.79,2.72,0.37,2.86,7.05,3.79,
286,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_12_substack_frame_2_middleslice,818.48,348.72,2.35,0.43,3.54,8.18,4.63,
287,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_13_substack_frame_1_middleslice,743.73,304.21,2.44,0.41,2.32,6.14,3.15,
288,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_13_substack_frame_2_middleslice,699.38,281.42,2.49,0.4,2.48,6.49,3.35,
289,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_14_substack_frame_1_middleslice,716.08,254.43,2.81,0.36,3.49,8.39,4.58,
290,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_14_substack_frame_2_middleslice,757.67,345.25,2.19,0.46,3.88,9.12,5.28,
291,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_15_substack_frame_1_middleslice,594.01,225.99,2.63,0.38,1.75,5.11,2.45,
292,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_15_substack_frame_2_middleslice,501.39,189.71,2.64,0.38,1.67,5.02,2.39,
293,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_1_substack_frame_1_middleslice,881.71,350.45,2.52,0.4,3.02,7.59,4.07,
294,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_1_substack_frame_2_middleslice,773.21,246.77,3.13,0.32,2.95,7.59,4.03,
295,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_2_substack_frame_1_middleslice,922.95,318.52,2.9,0.35,3.15,7.62,4.15,
296,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_2_substack_frame_2_middleslice,954.19,329.2,2.9,0.35,3.37,8.1,4.45,
297,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1018.76,376.56,2.71,0.37,3.59,8.25,4.66,
298,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_3_substack_frame_2_middleslice,871.96,384.15,2.27,0.44,3.95,8.98,5.09,
299,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1009.84,422.32,2.39,0.42,3.37,7.94,4.4,
300,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_4_substack_frame_2_middleslice,948.02,439.19,2.16,0.46,3.17,7.65,4.17,
301,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_5_substack_frame_1_middleslice,828.95,343.78,2.41,0.41,3.63,8.48,4.78,
302,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_5_substack_frame_2_middleslice,794.78,331.28,2.4,0.42,3.12,7.79,4.23,
303,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_6_substack_frame_1_middleslice,634.39,272.07,2.33,0.43,3.02,7.22,3.94,
304,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_6_substack_frame_2_middleslice,547.42,204.54,2.68,0.37,2.54,6.74,3.47,
305,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_7_substack_frame_1_middleslice,685.46,254.79,2.69,0.37,1.84,5.39,2.6,
306,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_7_substack_frame_2_middleslice,670.17,240.03,2.79,0.36,1.61,5.06,2.33,
307,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_8_substack_frame_1_middleslice,784.19,395.58,1.98,0.5,3.91,8.91,5.11,
308,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_8_substack_frame_2_middleslice,695.07,305.78,2.27,0.44,3.6,8.55,4.72,
309,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_9_substack_frame_1_middleslice,624.21,204.76,3.05,0.33,2.46,6.66,3.4,1
310,210428_NewpCUPCdc5_Nup60GFP_01_20_R3D_D3D_nucleus_9_substack_frame_2_middleslice,544.19,183.19,2.97,0.34,2.41,6.59,3.35,
